,id,question,score,time,loc,compile&test_ct,Qnum,Tag
0,101,q02,0,0.8341666666666666,0,0,q02,SQL - Joins
1,101,q02,0,0.8341666666666666,0,0,q02,SQL
2,101,q02,0,0.8341666666666666,0,0,q02,MySQL
3,102,q02,10,0.02722222222222222,4,2,q02,SQL - Joins
4,102,q02,10,0.02722222222222222,4,2,q02,SQL
5,102,q02,10,0.02722222222222222,4,2,q02,MySQL
6,103,q02,10,4.064444444444445,4,2,q02,SQL - Joins
7,103,q02,10,4.064444444444445,4,2,q02,SQL
8,103,q02,10,4.064444444444445,4,2,q02,MySQL
9,104,q02,0,0.0,0,0,q02,SQL - Joins
10,104,q02,0,0.0,0,0,q02,SQL
11,104,q02,0,0.0,0,0,q02,MySQL
12,105,q02,0,0.0,0,0,q02,SQL - Joins
13,105,q02,0,0.0,0,0,q02,SQL
14,105,q02,0,0.0,0,0,q02,MySQL
15,106,q02,10,0.6941666666666667,6,15,q02,SQL - Joins
16,106,q02,10,0.6941666666666667,6,15,q02,SQL
17,106,q02,10,0.6941666666666667,6,15,q02,MySQL
18,107,q02,10,0.3547222222222222,9,9,q02,SQL - Joins
19,107,q02,10,0.3547222222222222,9,9,q02,SQL
20,107,q02,10,0.3547222222222222,9,9,q02,MySQL
21,108,q02,10,3.213611111111111,11,96,q02,SQL - Joins
22,108,q02,10,3.213611111111111,11,96,q02,SQL
23,108,q02,10,3.213611111111111,11,96,q02,MySQL
24,109,q02,10,0.10083333333333333,5,5,q02,SQL - Joins
25,109,q02,10,0.10083333333333333,5,5,q02,SQL
26,109,q02,10,0.10083333333333333,5,5,q02,MySQL
27,110,q02,10,0.7116666666666667,12,18,q02,SQL - Joins
28,110,q02,10,0.7116666666666667,12,18,q02,SQL
29,110,q02,10,0.7116666666666667,12,18,q02,MySQL
30,111,q02,10,12.413055555555555,8,157,q02,SQL - Joins
31,111,q02,10,12.413055555555555,8,157,q02,SQL
32,111,q02,10,12.413055555555555,8,157,q02,MySQL
33,112,q02,10,1.1272222222222221,9,27,q02,SQL - Joins
34,112,q02,10,1.1272222222222221,9,27,q02,SQL
35,112,q02,10,1.1272222222222221,9,27,q02,MySQL
36,113,q02,10,0.3763888888888889,9,13,q02,SQL - Joins
37,113,q02,10,0.3763888888888889,9,13,q02,SQL
38,113,q02,10,0.3763888888888889,9,13,q02,MySQL
39,114,q02,10,0.22722222222222221,5,9,q02,SQL - Joins
40,114,q02,10,0.22722222222222221,5,9,q02,SQL
41,114,q02,10,0.22722222222222221,5,9,q02,MySQL
42,115,q02,10,0.10083333333333333,6,4,q02,SQL - Joins
43,115,q02,10,0.10083333333333333,6,4,q02,SQL
44,115,q02,10,0.10083333333333333,6,4,q02,MySQL
45,116,q02,10,0.4122222222222222,4,9,q02,SQL - Joins
46,116,q02,10,0.4122222222222222,4,9,q02,SQL
47,116,q02,10,0.4122222222222222,4,9,q02,MySQL
48,117,q02,10,1.2438888888888888,9,16,q02,SQL - Joins
49,117,q02,10,1.2438888888888888,9,16,q02,SQL
50,117,q02,10,1.2438888888888888,9,16,q02,MySQL
51,118,q02,10,0.6502777777777777,11,15,q02,SQL - Joins
52,118,q02,10,0.6502777777777777,11,15,q02,SQL
53,118,q02,10,0.6502777777777777,11,15,q02,MySQL
54,119,q02,10,0.6522222222222223,5,24,q02,SQL - Joins
55,119,q02,10,0.6522222222222223,5,24,q02,SQL
56,119,q02,10,0.6522222222222223,5,24,q02,MySQL
57,120,q02,10,0.1986111111111111,6,13,q02,SQL - Joins
58,120,q02,10,0.1986111111111111,6,13,q02,SQL
59,120,q02,10,0.1986111111111111,6,13,q02,MySQL
60,121,q02,10,0.5580555555555555,9,4,q02,SQL - Joins
61,121,q02,10,0.5580555555555555,9,4,q02,SQL
62,121,q02,10,0.5580555555555555,9,4,q02,MySQL
63,122,q02,10,0.5333333333333333,9,15,q02,SQL - Joins
64,122,q02,10,0.5333333333333333,9,15,q02,SQL
65,122,q02,10,0.5333333333333333,9,15,q02,MySQL
66,123,q02,10,0.36972222222222223,9,6,q02,SQL - Joins
67,123,q02,10,0.36972222222222223,9,6,q02,SQL
68,123,q02,10,0.36972222222222223,9,6,q02,MySQL
69,124,q02,10,1.763611111111111,4,17,q02,SQL - Joins
70,124,q02,10,1.763611111111111,4,17,q02,SQL
71,124,q02,10,1.763611111111111,4,17,q02,MySQL
72,125,q02,10,3.3336111111111113,10,49,q02,SQL - Joins
73,125,q02,10,3.3336111111111113,10,49,q02,SQL
74,125,q02,10,3.3336111111111113,10,49,q02,MySQL
75,126,q02,0,0.0,0,0,q02,SQL - Joins
76,126,q02,0,0.0,0,0,q02,SQL
77,126,q02,0,0.0,0,0,q02,MySQL
78,127,q02,10,1.4677777777777778,8,7,q02,SQL - Joins
79,127,q02,10,1.4677777777777778,8,7,q02,SQL
80,127,q02,10,1.4677777777777778,8,7,q02,MySQL
81,128,q02,10,0.8491666666666666,9,11,q02,SQL - Joins
82,128,q02,10,0.8491666666666666,9,11,q02,SQL
83,128,q02,10,0.8491666666666666,9,11,q02,MySQL
84,129,q02,10,0.4216666666666667,8,10,q02,SQL - Joins
85,129,q02,10,0.4216666666666667,8,10,q02,SQL
86,129,q02,10,0.4216666666666667,8,10,q02,MySQL
87,130,q02,10,0.18888888888888888,13,10,q02,SQL - Joins
88,130,q02,10,0.18888888888888888,13,10,q02,SQL
89,130,q02,10,0.18888888888888888,13,10,q02,MySQL
90,131,q02,10,0.8652777777777778,9,17,q02,SQL - Joins
91,131,q02,10,0.8652777777777778,9,17,q02,SQL
92,131,q02,10,0.8652777777777778,9,17,q02,MySQL
93,132,q02,10,0.2752777777777778,9,3,q02,SQL - Joins
94,132,q02,10,0.2752777777777778,9,3,q02,SQL
95,132,q02,10,0.2752777777777778,9,3,q02,MySQL
96,133,q02,10,15.780277777777778,26,32,q02,SQL - Joins
97,133,q02,10,15.780277777777778,26,32,q02,SQL
98,133,q02,10,15.780277777777778,26,32,q02,MySQL
99,134,q02,10,0.6097222222222223,11,12,q02,SQL - Joins
100,134,q02,10,0.6097222222222223,11,12,q02,SQL
101,134,q02,10,0.6097222222222223,11,12,q02,MySQL
102,135,q02,10,48.611666666666665,11,14,q02,SQL - Joins
103,135,q02,10,48.611666666666665,11,14,q02,SQL
104,135,q02,10,48.611666666666665,11,14,q02,MySQL
105,136,q02,10,0.1075,9,4,q02,SQL - Joins
106,136,q02,10,0.1075,9,4,q02,SQL
107,136,q02,10,0.1075,9,4,q02,MySQL
108,137,q02,10,0.3322222222222222,11,19,q02,SQL - Joins
109,137,q02,10,0.3322222222222222,11,19,q02,SQL
110,137,q02,10,0.3322222222222222,11,19,q02,MySQL
111,138,q02,10,0.715,11,41,q02,SQL - Joins
112,138,q02,10,0.715,11,41,q02,SQL
113,138,q02,10,0.715,11,41,q02,MySQL
114,139,q02,10,0.4058333333333333,9,12,q02,SQL - Joins
115,139,q02,10,0.4058333333333333,9,12,q02,SQL
116,139,q02,10,0.4058333333333333,9,12,q02,MySQL
117,140,q02,10,0.6191666666666666,10,17,q02,SQL - Joins
118,140,q02,10,0.6191666666666666,10,17,q02,SQL
119,140,q02,10,0.6191666666666666,10,17,q02,MySQL
120,141,q02,10,4.665277777777778,12,128,q02,SQL - Joins
121,141,q02,10,4.665277777777778,12,128,q02,SQL
122,141,q02,10,4.665277777777778,12,128,q02,MySQL
123,142,q02,10,5.450833333333334,9,69,q02,SQL - Joins
124,142,q02,10,5.450833333333334,9,69,q02,SQL
125,142,q02,10,5.450833333333334,9,69,q02,MySQL
126,143,q02,10,1.0972222222222223,13,26,q02,SQL - Joins
127,143,q02,10,1.0972222222222223,13,26,q02,SQL
128,143,q02,10,1.0972222222222223,13,26,q02,MySQL
129,144,q02,10,19.350277777777777,17,84,q02,SQL - Joins
130,144,q02,10,19.350277777777777,17,84,q02,SQL
131,144,q02,10,19.350277777777777,17,84,q02,MySQL
132,145,q02,10,0.37583333333333335,11,4,q02,SQL - Joins
133,145,q02,10,0.37583333333333335,11,4,q02,SQL
134,145,q02,10,0.37583333333333335,11,4,q02,MySQL
135,146,q02,10,0.17194444444444446,15,7,q02,SQL - Joins
136,146,q02,10,0.17194444444444446,15,7,q02,SQL
137,146,q02,10,0.17194444444444446,15,7,q02,MySQL
138,147,q02,10,0.37722222222222224,9,4,q02,SQL - Joins
139,147,q02,10,0.37722222222222224,9,4,q02,SQL
140,147,q02,10,0.37722222222222224,9,4,q02,MySQL
141,148,q02,0,1.2105555555555556,11,6,q02,SQL - Joins
142,148,q02,0,1.2105555555555556,11,6,q02,SQL
143,148,q02,0,1.2105555555555556,11,6,q02,MySQL
144,149,q02,0,6.863611111111111,15,4,q02,SQL - Joins
145,149,q02,0,6.863611111111111,15,4,q02,SQL
146,149,q02,0,6.863611111111111,15,4,q02,MySQL
147,150,q02,10,1.9780555555555555,11,16,q02,SQL - Joins
148,150,q02,10,1.9780555555555555,11,16,q02,SQL
149,150,q02,10,1.9780555555555555,11,16,q02,MySQL
150,151,q02,10,0.3111111111111111,21,12,q02,SQL - Joins
151,151,q02,10,0.3111111111111111,21,12,q02,SQL
152,151,q02,10,0.3111111111111111,21,12,q02,MySQL
153,152,q02,10,0.14833333333333334,10,7,q02,SQL - Joins
154,152,q02,10,0.14833333333333334,10,7,q02,SQL
155,152,q02,10,0.14833333333333334,10,7,q02,MySQL
156,153,q02,10,0.15833333333333333,10,3,q02,SQL - Joins
157,153,q02,10,0.15833333333333333,10,3,q02,SQL
158,153,q02,10,0.15833333333333333,10,3,q02,MySQL
159,154,q02,10,0.31666666666666665,11,9,q02,SQL - Joins
160,154,q02,10,0.31666666666666665,11,9,q02,SQL
161,154,q02,10,0.31666666666666665,11,9,q02,MySQL
162,155,q02,10,0.08722222222222223,9,2,q02,SQL - Joins
163,155,q02,10,0.08722222222222223,9,2,q02,SQL
164,155,q02,10,0.08722222222222223,9,2,q02,MySQL
165,156,q02,10,0.1988888888888889,10,4,q02,SQL - Joins
166,156,q02,10,0.1988888888888889,10,4,q02,SQL
167,156,q02,10,0.1988888888888889,10,4,q02,MySQL
168,157,q02,10,0.0575,9,2,q02,SQL - Joins
169,157,q02,10,0.0575,9,2,q02,SQL
170,157,q02,10,0.0575,9,2,q02,MySQL
171,158,q02,10,0.9047222222222222,4,11,q02,SQL - Joins
172,158,q02,10,0.9047222222222222,4,11,q02,SQL
173,158,q02,10,0.9047222222222222,4,11,q02,MySQL
174,159,q02,10,3.2630555555555554,11,32,q02,SQL - Joins
175,159,q02,10,3.2630555555555554,11,32,q02,SQL
176,159,q02,10,3.2630555555555554,11,32,q02,MySQL
177,160,q02,10,2.3725,10,54,q02,SQL - Joins
178,160,q02,10,2.3725,10,54,q02,SQL
